set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS1-198,1000,3000,100,100,145245,146163,986,3000,100,100,145245,146163,30000,30000,30000,30000,0,1,0,0.043,0,0,0,0.043
Set7,NGCUTFS,NGCUTFS1-199,1000,3000,100,100,142260,142581,982,3000,100,100,142260,142581,30000,30000,30000,30000,0,1,0,0.049,0,0,0,0.049
Set7,NGCUTFS,NGCUTFS1-200,1000,3000,100,100,140172,144666,975,3000,100,100,140172,144666,30000,30000,30000,30000,0,1,0,0.047,0,0,0,0.047
Set7,NGCUTFS,NGCUTFS1-201,1000,4000,100,100,190164,197728,965,4000,100,100,190164,197728,30000,30000,30000,30000,0,1,0,0.051,0,0,0,0.051
Set7,NGCUTFS,NGCUTFS1-202,1000,4000,100,100,195604,189908,973,4000,100,100,195604,189908,30000,30000,30000,30000,0,1,0,0.05,0,0,0,0.05
Set7,NGCUTFS,NGCUTFS1-203,1000,4000,100,100,193316,203612,972,4000,100,100,193316,203612,30000,30000,30000,30000,0,1,0,0.051,0,0,0,0.051
Set7,NGCUTFS,NGCUTFS1-204,1000,4000,100,100,191644,187704,970,4000,100,100,191644,187704,30000,30000,30000,30000,0,1,0,0.051,0,0,0,0.051
Set7,NGCUTFS,NGCUTFS1-205,1000,4000,100,100,194096,188784,969,4000,100,100,194096,188784,30000,30000,30000,30000,0,1,0,0.054,0,0,0,0.054
Set7,NGCUTFS,NGCUTFS1-206,1000,4000,100,100,197408,197252,981,4000,100,100,197408,197252,30000,30000,30000,30000,0,1,0,0.052,0,0,0,0.052
Set7,NGCUTFS,NGCUTFS1-207,1000,4000,100,100,204416,195088,970,4000,100,100,204416,195088,30000,30000,30000,30000,0,1,0,0.049,0,0,0,0.049
Set7,NGCUTFS,NGCUTFS1-208,1000,4000,100,100,189008,190704,968,4000,100,100,189008,190704,30000,30000,30000,30000,0,1,0,0.053,0,0,0,0.053
Set7,NGCUTFS,NGCUTFS1-209,1000,4000,100,100,196188,191388,971,4000,100,100,196188,191388,30000,30000,30000,30000,0,1,0,0.053,0,0,0,0.053
Set7,NGCUTFS,NGCUTFS1-210,1000,4000,100,100,194432,189156,967,4000,100,100,194432,189156,30000,30000,30000,30000,0,1,0,0.053,0,0,0,0.053
Set7,NGCUTFS,NGCUTFS2-100,150,150,100,100,6495,6697,69,69,100,100,2483,2719,29874,29874,29874,29874,0,1,0,0.007,0.002,0.008,7.716,7.733
Set7,NGCUTFS,NGCUTFS2-101,150,450,100,100,18960,20406,55,150,100,100,4862,5837,30000,30000,30000,30000,0,1,0,0.006,0.002,0.008,0.005,0.021
Set7,NGCUTFS,NGCUTFS2-102,150,450,100,100,18933,20400,63,178,100,100,4795,7239,30000,30000,30000,30000,0,1,0,0.015,0.003,0.008,0.182,0.208
Set7,NGCUTFS,NGCUTFS2-103,150,450,100,100,19407,21000,53,135,100,100,5695,5226,30000,30000,30000,30000,0,1,0,0.005,0.002,0.006,0,0.013
Set7,NGCUTFS,NGCUTFS2-104,150,450,100,100,19977,19479,45,116,100,100,4401,4404,30000,30000,30000,30000,0,1,0,0.01,0.003,0.005,0,0.018
Set7,NGCUTFS,NGCUTFS2-105,150,450,100,100,19674,18312,67,190,100,100,6570,5456,30000,30000,30000,30000,0,1,0,0.016,0.002,0.011,0,0.029
Set7,NGCUTFS,NGCUTFS2-106,150,450,100,100,20703,18306,51,139,100,100,5579,4698,30000,30000,30000,30000,0,1,0,0.01,0.002,0.006,0,0.018
Set7,NGCUTFS,NGCUTFS2-107,150,450,100,100,20466,19608,150,450,100,100,20466,19608,30000,30000,30000,30000,0,1,0,0.005,0,0,0,0.005
Set7,NGCUTFS,NGCUTFS2-108,150,450,100,100,21342,17298,52,145,100,100,5710,4832,29994,29994,29994,29994,0,1,0,0.012,0.003,0.007,1.01,1.032
Set7,NGCUTFS,NGCUTFS2-109,150,450,100,100,20016,18720,60,161,100,100,6303,6171,30000,30000,30000,30000,0,1,0,0.012,0.003,0.008,0,0.023
Set7,NGCUTFS,NGCUTFS2-110,150,450,100,100,17970,17847,57,152,100,100,4972,4949,29994,29994,29994,29994,0,1,0,0.009,0.003,0.008,5.091,5.111
Set7,NGCUTFS,NGCUTFS2-111,150,600,100,100,27196,26288,59,205,100,100,7169,6865,30000,30000,30000,30000,0,1,0,0.007,0.003,0,0.009,0.019
Set7,NGCUTFS,NGCUTFS2-112,150,600,100,100,26924,27040,54,183,100,100,6631,7433,30000,30000,30000,30000,0,1,0,0.014,0.003,0.007,0,0.024
Set7,NGCUTFS,NGCUTFS2-113,150,600,100,100,24556,23536,49,176,100,100,6243,6426,30000,30000,30000,30000,0,1,0,0.007,0.002,0.008,0,0.017
Set7,NGCUTFS,NGCUTFS2-114,150,600,100,100,26316,27504,45,157,100,100,4778,7315,30000,30000,30000,30000,0,1,0,0.013,0.003,0.004,0,0.02
Set7,NGCUTFS,NGCUTFS2-115,150,600,100,100,24012,26096,49,168,100,100,5428,5937,30000,30000,30000,30000,0,1,0,0.016,0.002,0.01,0,0.028
Set7,NGCUTFS,NGCUTFS2-116,150,600,100,100,23488,27396,67,238,100,100,8241,8448,30000,30000,30000,30000,0,1,0,0.011,0.002,0,0.182,0.195
Set7,NGCUTFS,NGCUTFS2-117,150,600,100,100,25904,25280,64,231,100,100,7389,7014,30000,30000,30000,30000,0,1,0,0.008,0.002,0,0.013,0.023
Set7,NGCUTFS,NGCUTFS2-118,150,600,100,100,23344,26756,150,600,100,100,23344,26756,30000,30000,30000,30000,0,1,0,0.006,0,0,0,0.006
Set7,NGCUTFS,NGCUTFS2-119,150,600,100,100,26560,24948,56,200,100,100,6248,6404,30000,30000,30000,30000,0,1,0,0.008,0.002,0.01,0,0.02
Set7,NGCUTFS,NGCUTFS2-120,150,600,100,100,26152,24108,52,183,100,100,6467,5896,30000,30000,30000,30000,0,1,0,0.017,0.002,0.008,0,0.027
Set7,NGCUTFS,NGCUTFS2-121,250,250,100,100,10186,10183,86,88,100,100,3433,3533,29970,29970,29970,29970,0,1,0,0.012,0.002,0.009,9.027,9.05
Set7,NGCUTFS,NGCUTFS2-122,250,250,100,100,11820,10589,104,105,100,100,4101,3973,29875,29804,29875,29804,0.002376569,0,0,0.01,0.003,0.008,36.672,36.693
Set7,NGCUTFS,NGCUTFS2-123,250,250,100,100,11342,10551,108,110,100,100,4217,3977,29919,29919,29919,29919,0,1,0,0.016,0.002,0.009,5.796,5.823
Set7,NGCUTFS,NGCUTFS2-124,250,250,100,100,10223,10006,91,91,100,100,3355,3856,29982,29982,29982,29982,0,1,0,0.015,0.002,0.01,7.962,7.989
Set7,NGCUTFS,NGCUTFS2-125,250,250,100,100,10534,10390,94,94,100,100,3465,3488,30000,30000,30000,30000,0,1,0,0.015,0.002,0.008,0,0.025
Set7,NGCUTFS,NGCUTFS2-126,250,250,100,100,10512,10355,93,94,100,100,3496,3103,29917,29907,29917,29907,3.34E-04,0,0,0.013,0.002,0.011,36.667,36.693
Set7,NGCUTFS,NGCUTFS2-127,250,250,100,100,10531,11446,89,89,100,100,3578,4121,29979,29979,29979,29979,0,1,0,0.012,0.002,0.007,0.298,0.319
Set7,NGCUTFS,NGCUTFS2-128,250,250,100,100,11048,10368,102,104,100,100,3966,3804,29877,29864,29877,29864,4.35E-04,0,0,0.011,0.003,0.008,36.671,36.693
Set7,NGCUTFS,NGCUTFS2-129,250,250,100,100,10515,9814,73,75,100,100,3018,2742,29988,29988,29988,29988,0,1,0,0.013,0.002,0.008,0.14,0.163
Set7,NGCUTFS,NGCUTFS2-130,250,250,100,100,11121,11232,97,98,100,100,4303,3950,29922,29922,29922,29922,0,1,0,0.015,0.002,0.008,1.989,2.014
Set7,NGCUTFS,NGCUTFS2-131,250,750,100,100,33588,33084,85,221,100,100,9028,8776,30000,30000,30000,30000,0,1,0,0.015,0.003,0,0.436,0.454
Set7,NGCUTFS,NGCUTFS2-132,250,750,100,100,31557,34176,76,203,100,100,6951,7943,30000,30000,30000,30000,0,1,0,0.019,0.002,0,0.008,0.029
Set7,NGCUTFS,NGCUTFS2-133,250,750,100,100,30969,30252,73,208,100,100,7205,8892,30000,30000,30000,30000,0,1,0,0.014,0.002,0,0.083,0.099
Set7,NGCUTFS,NGCUTFS2-134,250,750,100,100,33342,32907,247,750,100,100,33342,32907,30000,30000,30000,30000,0,1,0,0.007,0,0,0,0.007
Set7,NGCUTFS,NGCUTFS2-135,250,750,100,100,32784,31257,90,249,100,100,9764,8597,30000,30000,30000,30000,0,1,0,0.016,0.002,0,0.146,0.164
