set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set7,NGCUTFS,NGCUTFS2-194,1000,3000,100,100,125805,127377,971,3000,100,100,125805,127377,30000,30000,0.0,1,0,0.056,0.0,0.0,0.0,0.056
Set7,NGCUTFS,NGCUTFS2-195,1000,3000,100,100,126234,130296,976,3000,100,100,126234,130296,30000,30000,0.0,1,0,0.055,0.0,0.0,0.0,0.055
Set7,NGCUTFS,NGCUTFS2-196,1000,3000,100,100,131169,129987,973,3000,100,100,131169,129987,30000,30000,0.0,1,0,0.053,0.0,0.0,0.0,0.053
Set7,NGCUTFS,NGCUTFS2-197,1000,3000,100,100,128874,129453,962,3000,100,100,128874,129453,30000,30000,0.0,1,0,0.053,0.0,0.0,0.0,0.053
Set7,NGCUTFS,NGCUTFS2-198,1000,3000,100,100,124311,129627,973,3000,100,100,124311,129627,30000,30000,0.0,1,0,0.056,0.0,0.0,0.0,0.056
Set7,NGCUTFS,NGCUTFS2-199,1000,3000,100,100,125361,128442,967,3000,100,100,125361,128442,30000,30000,0.0,1,0,0.06,0.0,0.0,0.0,0.06
Set7,NGCUTFS,NGCUTFS2-200,1000,3000,100,100,127323,122994,981,3000,100,100,127323,122994,30000,30000,0.0,1,0,0.052,0.0,0.0,0.0,0.052
Set7,NGCUTFS,NGCUTFS2-201,1000,4000,100,100,171364,172872,974,4000,100,100,171364,172872,30000,30000,0.0,1,0,0.064,0.0,0.0,0.0,0.064
Set7,NGCUTFS,NGCUTFS2-202,1000,4000,100,100,171224,161812,977,4000,100,100,171224,161812,30000,30000,0.0,1,0,0.07,0.0,0.0,0.0,0.07
Set7,NGCUTFS,NGCUTFS2-203,1000,4000,100,100,176084,174112,973,4000,100,100,176084,174112,30000,30000,0.0,1,0,0.068,0.0,0.0,0.0,0.068
Set7,NGCUTFS,NGCUTFS2-204,1000,4000,100,100,172444,169260,977,4000,100,100,172444,169260,30000,30000,0.0,1,0,0.063,0.0,0.0,0.0,0.063
