set,subset,instance,m,n,W,H,sum_w,sum_h,m',n',W',H',sum_w',sum_h',ub,lb,ub',lb',gap,opt,OOM,pre_time(s),ub0_time(s),dp_time(s),bid_time(s),time(s)
Set4,MP,Class1_1_20_100_10_50,20,166,100,100,4251,3356,20,166,100,100,4251,3356,10000,10000,10000,10000,0,1,0,0.001,0.001,0.004,0,0.006
Set4,MP,Class1_1_20_100_25_75,20,36,100,100,1591,1505,20,36,100,100,1638,1510,9530,9530,9530,9530,0,1,0,0.002,0.001,0,0,0.003
Set4,MP,Class1_1_30_100_10_50,30,265,100,100,6656,6408,30,265,100,100,6656,6408,10000,10000,10000,10000,0,1,0,0.003,0.002,0,0.02,0.025
Set4,MP,Class1_1_30_100_25_75,30,55,100,100,2721,2738,30,55,100,100,2835,2780,9650,9650,9650,9650,0,1,0,0.004,0,0,0,0.004
Set4,MP,Class1_1_40_100_10_50,40,301,100,100,7111,6878,40,301,100,100,7111,6878,10000,10000,10000,10000,0,1,0,0.004,0.001,0,0.272,0.277
Set4,MP,Class1_1_40_100_25_75,40,67,100,100,3165,3203,40,67,100,100,3180,3349,9878,9878,9878,9878,0,1,0,0.003,0,0.001,0,0.004
Set4,MP,Class1_1_50_100_10_50,50,403,100,100,9672,9199,50,403,100,100,9672,9199,10000,10000,10000,10000,0,1,0,0.005,0.001,0,0.06,0.066
Set4,MP,Class1_1_50_100_25_75,50,79,100,100,3876,3850,50,79,100,100,3888,3902,9808,9808,9808,9808,0,1,0,0.003,0,0.001,0,0.004
Set4,MP,Class1_2_10_100_10_50,10,114,100,100,2120,2067,10,114,100,100,2120,2067,9969,9969,9969,9969,0,1,0,0,0.001,0.002,0.003,0.006
Set4,MP,Class1_2_10_100_25_75,10,15,100,100,759,665,11,15,100,99,809,735,9201,9201,9201,9201,0,1,0,0,0.001,0,0,0.001
Set4,MP,Class1_2_20_100_10_50,20,147,100,100,3563,3636,19,147,100,100,3563,3636,9967,9967,9967,9967,0,1,0,0.001,0.001,0.003,0.023,0.028
Set4,MP,Class1_2_20_100_25_75,20,32,100,100,1513,1509,23,32,100,100,1556,1626,9818,9818,9818,9818,0,1,0,0.002,0,0,0,0.002
Set4,MP,Class1_2_30_100_10_50,30,170,100,100,3845,4625,30,170,100,100,3845,4625,10000,10000,10000,10000,0,1,0,0.003,0.001,0.003,0,0.007
Set4,MP,Class1_2_30_100_25_75,30,61,100,100,2962,2706,30,61,100,100,3014,2728,9633,9633,9633,9633,0,1,0,0.002,0,0.001,0,0.003
Set4,MP,Class1_2_40_100_10_50,40,395,100,100,7744,8682,40,395,100,100,7744,8682,10000,10000,10000,10000,0,1,0,0.004,0.002,0,0.195,0.201
